"site","block","nitrogen","biomass","yield","height","lodged","ph","p_ppm","est_cec","per_N","per_C","cn_ratio","microbial_biomass","actinomycete_guild_absolute","amf_guild_absolute","saprotroph_guild_absolute","gram_neg_guild_absolute","gram_pos_guild_absolute","gram_pos_neg_ratio_absolute","fungi_absolute","bacteria_absolute","fb_ratio_absolute","div_rich","div_rar","div_shan","div_simp","OTU_25","OTU_40","OTU_35","OTU_20","OTU_62","OTU_38","OTU_82","OTU_16","OTU_27","OTU_15","OTU_41","OTU_10","OTU_76","OTU_36","OTU_47","OTU_9","OTU_81","OTU_42","OTU_59","OTU_29","OTU_51","OTU_11","OTU_3","OTU_46","OTU_12","OTU_52","OTU_31","OTU_56","OTU_23","OTU_24","OTU_49","OTU_60","OTU_45","OTU_48","OTU_77","OTU_17","OTU_75","OTU_18","OTU_50","OTU_32","OTU_22","OTU_58","OTU_19","OTU_30","OTU_0","OTU_65","OTU_21","OTU_7","OTU_37","OTU_73","OTU_34","OTU_55","OTU_28","OTU_8","OTU_53","OTU_5","OTU_6","OTU_2","OTU_64","OTU_72","OTU_57","OTU_54","OTU_13","OTU_14","OTU_39","OTU_68","OTU_26","OTU_63","OTU_44","OTU_4","OTU_66","OTU_43","OTU_80","OTU_61","OTU_70","OTU_33","OTU_79","OTU_71","OTU_67","OTU_1","OTU_78","OTU_74","OTU_69"
"Hancock","R2","amended",933.976,3.864133,190.552631578947,0.0526315789473684,6.1,150,9.407435,0.158666666666667,1.74366666666667,10.9894957983193,229.20615,7.66535,41.98385,27.3796,35.2154,21.53905,0.61695,69.36345,55.6864,1.24675,10,9.92626681514462,1.2016859082193,0.643025208783822,"0","2721","0","21","0","86","0","0","1720","989","0","0","0","0","0","0","0","0","0","0","0","0","0","45","22","0","0","0","0","0","19","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"Hancock","R2","control",819.606,3.379928,196.052631578947,0,6.2,124,10.4205,0.124333333333333,1.43333333333333,11.5281501340483,266.63385,7.11345,68.2382,29.69545,42.72305,20.37915,0.48515,97.93365,62.0392,1.602,20,19.9505407960657,1.79419026006194,0.74382345530995,"0","1732","0","642","0","217","0","0","238","672","0","0","0","0","0","0","0","0","0","0","0","0","45","91","13","22","19","31","0","0","115","0","0","0","0","18","10","26","0","0","9","0","0","0","0","7","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","5","0","0","0","0","0","0","0"
"Hancock","R3","amended",176.954,0.375836,82.8,0,6,30.5,1.518015,0.0226666666666667,0.245333333333333,10.8235294117647,83.005,2.60465,15.28985,13.8601,12.0208,7.2746,0.605,29.14995,18.93705,1.537,7,6.99968522237822,0.507634867028974,0.200034765432099,"0","0","86","0","0","0","2009","0","0","4","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hancock","R3","control",185.183,0.465469,68.4857142857143,0,5.9,33,1.64833,0.028,0.322666666666667,11.5238095238095,140.64945,3.1581,32.051,23.3169,22.5878,8.7299,0.3856,55.3679,30.8549,1.787,13,12.741778564574,1.00299143008197,0.449645058074173,"0","462","3411","0","0","0","326","0","19","0","0","8","0","0","331","0","0","0","0","0","0","0","0","0","0","19","0","0","0","64","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0"
"Hancock","R4","amended",389.7555,1.181194,131.178571428571,0.0357142857142857,6.6,95.5,3.234875,0.0746666666666667,0.814,10.9017857142857,221.5211,5.21213333333333,35.8779333333333,34.9327666666667,35.3658666666667,18.7418666666667,0.540533333333333,70.8107,53.1349666666667,1.3516,15,14.9950924273881,0.832430660478104,0.311814723532455,"0","3837","0","0","0","102","18","0","66","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","277","0","0","0","0","0","14","25","0","20","0","0","0","10","0","25","0","27","0","0","0","0","0","0","0","0","0","56","0","0","0","0","0","0","0","0","0","0","29","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hancock","R4","control",405.162,0.621328,108.257142857143,0,6.6,38,2.2591,0.059,0.705,11.9491525423729,255.63635,4.4722,88.4631,32.5637,33.20695,15.1284,0.4607,121.0268,47.3967,2.5756,17,16.3925680978653,1.04892699130276,0.509272062337975,"0","3532","0","0","0","58","0","0","88","69","0","1469","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","31","0","4","0","17","0","11","0","0","15","10","17","0","47","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oregon","R1","amended",1993.535,9.058048,136.25,0.325,6.5,5,17.304,0.206666666666667,1.619,7.83387096774194,557.77185,15.9419,129.4762,95.81795,84.9749,42.57635,0.5018,225.29415,125.2959,1.79975,15,14.9908820449771,1.23896226404766,0.601356525894991,"0","0","0","54","0","0","0","2259","10","14","0","0","0","0","0","1519","69","0","0","61","0","0","183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","16","0","0","0","0","0","0","0","0","44","0","0","0","0","0","0","35","31","0","0","0","0","0","0","11","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oregon","R1","control",1721.225,10.063491,146.95,0.425,6.4,9,17.1059,0.187666666666667,1.442,7.68383658969805,382.4416,10.98225,88.0003,59.4171,66.4806,31.411,0.4723,147.4174,96.0707,1.51485,12,11.9228325517455,0.816764827531605,0.34161486761883,"0","2459","0","0","4","34","0","303","0","3","0","0","0","0","0","0","59","0","0","59","0","0","25","0","0","0","0","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"Oregon","R2","amended",1621.025,10.112541,124.263157894737,0.657894736842105,6.1,12,10.9094,0.322666666666667,1.95033333333333,6.04442148760331,253.43,13.3193,33.7164,36.667,40.03825,36.4123,0.9071,70.3834,73.6472,0.9658,6,5.11338736092215,0.843205853623253,0.528740254469281,"0","3503","0","0","0","0","0","0","0","0","4407","0","88","0","0","0","0","0","203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Oregon","R2","control",2026.015,11.177756,116.947368421053,0.815789473684211,6,10,12.2244,0.262,1.58966666666667,6.06743002544529,222.08675,11.22035,33.2344,37.0518,34.04025,29.0545,0.8518,70.2862,61.23035,1.1418,12,11.9999997384253,1.8289685495569,0.767455905141045,"0","635","0","228","2726","848","0","0","506","667","0","0","528","0","0","0","0","0","0","0","0","42","0","0","59","0","0","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oregon","R3","amended",2290.13,9.049757,134.911764705882,0.588235294117647,5.8,21,15.2976,0.214666666666667,1.959,9.12577639751553,284.12665,14.38535,39.59345,39.689,47.88875,40.0984,0.83805,79.28245,86.05745,0.91735,14,13.9916463172762,1.78756779009365,0.76990214001952,"0","1784","0","85","606","929","0","0","121","198","0","0","623","0","12","0","28","0","70","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","9","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oregon","R3","control",1753.43,11.005341,142.447368421053,0.394736842105263,5.8,24,16.6064,0.243,1.876,7.7201646090535,343.31665,13.04315,71.3597,36.75965,60.7579,36.36585,0.5974,108.11935,95.53075,1.1246,16,15.5586304508945,1.64299847386325,0.758289506250716,"0","1111","64","392","900","1341","0","0","7","59","0","0","0","0","0","0","0","0","8","9","52","0","0","19","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","3","2"
"Oregon","R4","amended",2206.3,11.407762,134.425,0.45,5.9,14,13.0141,0.297333333333333,1.783,5.99663677130045,342.9325,12.40395,78.4346,58.43565,50.81345,32.7129,0.64155,136.87025,81.76505,1.6891,19,18.6824887861857,1.5995850685979,0.666267697088746,"0","448","3083","18","852","500","0","0","0","9","18","0","108","0","0","0","28","247","0","0","65","184","6","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","38","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","6","0","0","0","5","0","0","0","0","0"
"Oregon","R4","control",1448.73,10.626684,151.55,0.375,6.2,15,11.4688,0.301666666666667,1.61333333333333,5.34806629834254,430.1627,14.4232,117.7159,60.65385,68.7243,33.11195,0.4818,178.36975,98.9536,1.80255,11,11,1.64447304339083,0.761270267659067,"0","584","0","1","0","0","0","0","60","115","0","0","74","0","0","0","574","0","0","460","0","0","0","0","6","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhinelander","R1","amended",674.679,3.319372,157.484848484848,0,6.05,323,6.824295,0.112666666666667,1.34333333333333,11.9230769230769,279.2726,3.73825,104.14045,16.23405,36.3306,14.8999,0.4145,120.3745,50.1805,2.44005,8,7.84061919876839,0.822481256138638,0.520990536537526,"6","2725","0","2335","0","0","0","0","23","62","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhinelander","R1","control",444.6185,1.634805,133.157894736842,0,5.9,328,6.25923,0.109666666666667,1.327,12.1003039513678,251.720633333333,3.59326666666667,92.7046,17.7682,29.4068666666667,13.1473,0.445766666666667,110.4728,41.6244333333333,2.63523333333333,14,13.7585632777622,1.10283614085665,0.51833836556554,"0","593","0","2095","2","16","0","0","5","243","0","37","0","0","4","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","3","0","0","98","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"Rhinelander","R2","amended",1430.51,4.263003,144.58064516129,0.548387096774194,5.15,275,9.429595,0.131333333333333,1.57433333333333,11.9873096446701,304.3132,6.26335,79.7838,20.81615,44.15585,18.9985,0.4305,100.59995,62.25265,1.61725,2,2,0.480761362289533,0.303140476339265,"1647","0","0","0","0","0","0","0","0","0","0","0","0","377","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhinelander","R2","control",831.1655,3.165049,179.842105263158,0,5.1,297,11.0386,0.133333333333333,1.59133333333333,11.935,299.636066666667,5.60346666666667,71.1071,19.0254666666667,60.3643333333333,15.5724333333333,0.263366666666667,90.1325666666667,75.105,1.18803333333333,4,4,0.971039323443158,0.561284559989689,"2084","0","0","0","0","77","0","0","0","0","0","0","0","295","1215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhinelander","R3","amended",1429.95,4.416651,154.194444444444,0,5.3,219.5,9.17859,0.135,1.32566666666667,9.81975308641975,308.578966666667,6.48326666666667,80.1018,29.3520333333333,43.4948333333333,17.2258333333333,0.398933333333333,109.453833333333,59.8558333333333,1.81313333333333,5,4.99994909094249,0.359453640987861,0.152144435862522,"4780","74","0","0","46","280","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhinelander","R3","control",654.2925,2.164329,144.55,0,5.4,237,8.59038,0.0886666666666667,1.14833333333333,12.9511278195489,278.47635,5.15655,67.29395,23.1711,54.4418,13.24395,0.2488,90.46505,66.9284,1.37015,4,3.97410968969487,0.0700682255238242,0.0217246454726422,"0","3703","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhinelander","R4","amended",1693.785,3.797054,161.290322580645,0.290322580645161,5.4,282.5,9.82519,0.125666666666667,1.13066666666667,8.9973474801061,300.5853,6.4389,70.35865,27.59695,49.0024,18.7619,0.3853,97.9556,66.7497,1.4558,5,4.83627866308197,1.00650321169915,0.593292009853374,"1957","1881","0","0","403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhinelander","R4","control",621.964,1.943008,169.525,0,5.3,282,10.7827,0.118,1.364,11.5593220338983,299.8173,5.75245,63.453,26.501,51.04505,17.20545,0.3375,89.954,67.40855,1.33505,7,6.99994889612253,0.943753842244567,0.457222154236932,"2359","497","0","0","225","34","0","0","0","0","0","0","0","20","147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
